countryID,name,surname,passport,domain,email,phone_number,born_date,sex,salary,index,years_working,grade
34,Fonsie,Grimbaldeston,668-04-9146,fotki.com,fonsie.grimbaldeston@fotki.com,+46 974 772 3131,1980-07-03,M,1398,0.0,0,1.7
144,Edwin,Romanetti,195-34-3190,google.com.br,edwin.romanetti@google.com.br,+62 192 756 1922,1945-08-20,M,27460,0.87,52,3.99
171,Patty,Pestridge,726-02-7851,java.com,patty.pestridge@java.com,+63 674 853 2635,1960-04-03,M,45820,0.79,36,0.35
248,Winthrop,Timby,121-56-3653,cnn.com,winthrop.timby@cnn.com,+998 541 616 3433,1990-12-17,M,24941,0.39,6,3.79
224,Amalle,Wilcher,862-23-8755,wikipedia.org,amalle.wilcher@wikipedia.org,+62 242 218 1445,1950-07-07,F,10612,0.34,19,0.05
136,Wandie,Renshaw,400-79-0818,omniture.com,wandie.renshaw@omniture.com,+55 979 115 7990,1951-02-07,F,11484,0.19,10,7.34
157,Bendix,Essery,405-14-4860,imdb.com,bendix.essery@imdb.com,+1 504 103 2870,1997-12-01,M,48937,0.64,5,9.79
79,Alden,Willingham,495-42-6919,nationalgeographic.com,alden.willingham@nationalgeographic.com,+507 628 965 1426,1947-07-14,M,28954,0.42,24,2.92
145,Robbi,Boggas,811-03-8288,flavors.me,robbi.boggas@flavors.me,+48 952 495 0368,1972-05-07,F,20485,0.24,8,9.57
238,Germayne,Brosio,857-17-7503,51.la,germayne.brosio@51.la,+212 712 564 3255,1966-06-22,M,12618,0.03,1,0.51
131,Dudley,Cosstick,662-59-7499,who.int,dudley.cosstick@who.int,+389 665 909 0659,1969-07-08,M,30445,0.46,17,4.48
71,Harrie,Hannay,406-38-2879,yelp.com,harrie.hannay@yelp.com,+47 524 319 8672,1978-02-03,F,21421,0.53,14,1.98
59,Effie,Jacobbe,648-84-4299,google.ca,effie.jacobbe@google.ca,+351 108 716 8899,1999-07-05,F,6054,0.76,5,3.2
55,Constantin,Liebermann,215-41-7321,phpbb.com,constantin.liebermann@phpbb.com,+976 458 622 1352,1967-07-12,M,7837,0.64,24,5.67
143,Alva,Sherreard,199-71-2063,sciencedirect.com,alva.sherreard@sciencedirect.com,+375 829 374 9449,1989-04-10,M,5652,0.8,13,2.47
191,Loria,Wincer,545-10-0351,chronoengine.com,loria.wincer@chronoengine.com,+358 208 754 1014,1994-10-21,F,15152,0.08,1,0.07
84,Terri,Harmstone,148-43-5954,acquirethisname.com,terri.harmstone@acquirethisname.com,+30 311 582 0492,1975-06-21,F,22019,0.31,9,1.18
255,Ruddie,Zanneli,271-28-9778,ehow.com,ruddie.zanneli@ehow.com,+33 164 708 9197,1948-06-13,M,21766,0.27,15,8.12
170,Ciel,Poultney,398-24-6547,mozilla.org,ciel.poultney@mozilla.org,+54 585 147 3993,2002-09-29,F,31749,0.54,2,5.78
41,Emilee,Goodboddy,284-14-0582,mac.com,emilee.goodboddy@mac.com,+63 445 484 4653,2004-02-07,F,48042,0.85,1,6.59
48,Mufi,Aspy,534-74-7288,unc.edu,mufi.aspy@unc.edu,+63 332 100 9654,1955-08-10,F,5039,0.35,18,4.89
227,Cornell,Venus,530-19-7822,google.com.br,cornell.venus@google.com.br,+33 728 388 9725,1974-10-04,M,34798,0.21,7,3.97
87,Zacharias,Barnish,200-39-7468,cnet.com,zacharias.barnish@cnet.com,+63 324 439 3701,1986-01-17,M,3457,0.19,4,1.9
108,Selby,Clendening,401-03-9256,netvibes.com,selby.clendening@netvibes.com,+55 912 165 5744,1956-07-07,M,23761,0.64,31,8.32
222,Chas,Cholomin,795-31-2100,springer.com,chas.cholomin@springer.com,+62 938 241 8741,1977-04-02,M,2142,0.37,10,9.56
266,Eustace,Ibbitson,755-91-4075,hexun.com,eustace.ibbitson@hexun.com,+57 258 900 2831,1952-01-27,M,24636,0.57,30,1.3
4,Sayre,Mounfield,716-90-8890,gnu.org,sayre.mounfield@gnu.org,+420 662 626 8450,1955-04-21,F,36558,0.98,49,4.58
59,Eberto,Venditti,876-73-7144,surveymonkey.com,eberto.venditti@surveymonkey.com,+33 756 693 2060,1956-07-28,M,16012,0.29,14,5.42
180,Roseann,Gelsthorpe,249-96-6882,blogtalkradio.com,roseann.gelsthorpe@blogtalkradio.com,+39 343 709 2666,2003-04-08,F,26391,0.68,1,0.68
188,Annabella,Giacomazzo,369-45-1207,harvard.edu,annabella.giacomazzo@harvard.edu,+48 171 885 4458,1960-05-26,F,49313,0.04,2,2.6
252,Marcie,Skirlin,612-93-6842,furl.net,marcie.skirlin@furl.net,+62 858 368 6081,1946-12-26,F,13636,0.73,43,2.19
159,Susanna,Tomowicz,255-68-8685,furl.net,susanna.tomowicz@furl.net,+380 532 774 2832,1952-09-26,F,13544,0.4,21,6.73
20,Eldridge,Antat,401-46-9916,trellian.com,eldridge.antat@trellian.com,+374 414 266 2595,1953-01-13,M,32815,0.36,19,8.52
76,Stefan,Mate,854-53-7975,1und1.de,stefan.mate@1und1.de,+62 148 808 8535,1998-04-13,M,40991,0.58,4,3.17
146,Jonathon,Simo,708-41-3965,google.com.br,jonathon.simo@google.com.br,+351 209 991 0678,1964-09-24,M,14107,0.44,18,7.99
97,Gaspar,Bridle,719-24-9926,google.it,gaspar.bridle@google.it,+996 924 307 6509,1991-11-01,M,32112,0.21,3,6.25
58,Jessamyn,Bygott,401-79-5389,aol.com,jessamyn.bygott@aol.com,+62 904 959 9615,1986-05-19,F,31517,0.45,9,3.79
190,Editha,Brandli,885-31-2534,dot.gov,editha.brandli@dot.gov,+506 711 709 3097,1988-02-06,F,14062,0.22,4,9.2
153,Elora,Westley,402-71-6461,nhs.uk,elora.westley@nhs.uk,+54 201 937 0761,1958-12-20,F,44496,0.17,8,8.07
240,Beckie,Villiers,896-05-9349,ebay.co.uk,beckie.villiers@ebay.co.uk,+62 546 210 5102,1982-10-26,F,46559,0.43,10,2.49
75,Lita,Mossdale,563-70-6880,nps.gov,lita.mossdale@nps.gov,+54 879 567 5711,1998-07-16,F,18876,0.32,2,1.03
139,Lanni,Mc Carrick,529-80-1478,lulu.com,lanni.mc carrick@lulu.com,+385 194 333 5636,2002-06-18,F,9028,0.31,1,5.28
51,Ag,Latliff,555-90-8217,hp.com,ag.latliff@hp.com,+86 503 607 5321,1985-12-02,F,8275,0.3,6,1.58
27,Tadeo,Cammish,214-47-0223,desdev.cn,tadeo.cammish@desdev.cn,+995 896 573 4578,1986-07-14,M,37536,0.96,18,9.16
73,Pearl,Bordis,581-42-6626,1und1.de,pearl.bordis@1und1.de,+54 205 183 0750,1957-10-08,F,45149,0.97,47,0.96
170,Viki,Disdel,616-66-4587,godaddy.com,viki.disdel@godaddy.com,+63 354 858 3624,1979-01-04,F,36273,0.61,16,5.29
26,Paten,Bowkett,413-92-5548,hatena.ne.jp,paten.bowkett@hatena.ne.jp,+62 292 624 2080,1982-11-02,M,4601,0.82,19,1.66
111,Bentley,Garbar,508-56-8780,cnet.com,bentley.garbar@cnet.com,+51 917 933 2953,1996-05-06,M,37600,0.22,2,8.4
163,Wilek,Golbourn,809-17-7570,sohu.com,wilek.golbourn@sohu.com,+86 328 481 6195,1999-08-18,M,43220,0.37,2,1.58
200,Sheeree,Lister,454-73-1310,google.pl,sheeree.lister@google.pl,+503 191 881 6102,1990-12-11,F,34533,0.71,11,8.97
149,Adolphus,Paty,327-17-4766,reverbnation.com,adolphus.paty@reverbnation.com,+63 344 761 9822,1948-12-10,M,42713,0.94,54,7.74
224,Yolande,Durban,275-90-2606,constantcontact.com,yolande.durban@constantcontact.com,+62 636 869 8992,1984-11-09,F,3870,0.66,14,8.35
76,Duncan,Ruddock,214-01-8566,amazon.de,duncan.ruddock@amazon.de,+46 275 721 7209,1966-12-10,M,19324,0.6,23,8.52
75,Clerissa,Van Cassel,431-18-1210,squidoo.com,clerissa.van cassel@squidoo.com,+62 228 307 5018,1968-12-19,F,9223,0.71,26,6.76
182,Adelheid,Ilbert,619-45-1604,storify.com,adelheid.ilbert@storify.com,+299 275 708 9118,1978-05-24,F,4074,0.43,12,9.06
41,Sterling,Bruneton,533-68-2594,github.com,sterling.bruneton@github.com,+420 872 115 2010,1976-11-25,M,28383,0.93,27,6.72
260,Amii,Melross,646-13-7122,lycos.com,amii.melross@lycos.com,+254 896 443 6898,1971-03-26,F,9664,0.88,30,7.79
161,Johan,Collingham,808-08-1571,yandex.ru,johan.collingham@yandex.ru,+7 800 251 5270,2004-02-28,M,17568,0.31,0,0.16
169,Mendy,Whatford,617-93-2946,google.com.au,mendy.whatford@google.com.au,+93 554 861 3708,1971-02-04,M,23365,0.89,30,6.11
52,Yetty,Deaconson,617-49-3638,answers.com,yetty.deaconson@answers.com,+62 272 780 7222,1962-10-02,F,45254,0.76,33,3.82
211,Micki,Elt,540-98-3397,rakuten.co.jp,micki.elt@rakuten.co.jp,+62 420 687 5961,1983-03-06,F,18415,0.32,7,0.76
161,Beale,Swait,172-89-1964,mtv.com,beale.swait@mtv.com,+1 753 371 6821,1974-10-03,M,42489,0.68,21,2.92
95,Zane,Zanetello,316-07-3047,cbc.ca,zane.zanetello@cbc.ca,+86 103 631 6316,1961-07-03,M,39286,0.96,42,8.93
97,August,Varnes,170-92-9054,mail.ru,august.varnes@mail.ru,+86 401 927 2544,1986-07-29,M,30469,0.91,17,2.76
124,Fayth,Danbury,817-31-5978,sun.com,fayth.danbury@sun.com,+62 787 110 9616,1962-10-01,F,38151,0.25,11,2.5
144,Dynah,Edscer,259-85-5319,pinterest.com,dynah.edscer@pinterest.com,+7 635 769 6933,1995-05-30,F,33597,0.05,1,9.86
49,Abeu,Roote,526-48-7135,sogou.com,abeu.roote@sogou.com,+62 576 225 1738,1981-09-11,M,2871,0.95,23,8.35
215,Jim,Hadgraft,539-02-0846,about.me,jim.hadgraft@about.me,+86 631 956 7416,1950-09-05,M,28330,0.94,52,3.38
192,Fonz,Tillot,130-73-0866,ucoz.com,fonz.tillot@ucoz.com,+92 906 656 4088,1970-12-28,M,30278,0.34,12,7.34
264,Nichols,Sibyllina,418-17-4762,baidu.com,nichols.sibyllina@baidu.com,+86 288 963 5842,1996-03-29,M,26413,0.32,3,5.05
174,Bride,Schutze,846-06-7228,salon.com,bride.schutze@salon.com,+380 793 975 2126,1998-09-12,F,6971,0.43,3,5.43
103,Rayner,Tuberfield,794-78-3402,webs.com,rayner.tuberfield@webs.com,+62 704 255 1507,1982-12-17,M,35879,0.16,4,6.26
93,Flint,Rampage,166-79-0627,ibm.com,flint.rampage@ibm.com,+46 806 196 5180,1949-07-15,M,33273,0.46,26,8.56
128,Silvan,Sapsford,651-02-2308,1688.com,silvan.sapsford@1688.com,+48 857 480 9647,1985-06-19,M,17605,0.36,7,8.51
221,Humberto,Finch,679-21-8924,phoca.cz,humberto.finch@phoca.cz,+62 882 500 6108,1945-11-14,M,7502,0.05,3,9.6
34,Nappie,Sandars,121-80-6481,clickbank.net,nappie.sandars@clickbank.net,+994 236 419 3112,1954-12-15,M,12215,0.66,34,6.67
146,Marijo,Donn,331-35-0413,sogou.com,marijo.donn@sogou.com,+7 747 207 8318,1971-05-24,F,6234,0.43,15,7.81
227,Welbie,Berkeley,538-73-6232,mit.edu,welbie.berkeley@mit.edu,+86 584 165 2570,1991-10-11,M,15656,1.0,14,5.04
252,Curr,Stefanovic,755-73-2754,merriam-webster.com,curr.stefanovic@merriam-webster.com,+380 326 286 6425,1986-09-19,M,25119,0.9,17,7.59
42,Muriel,Winslow,468-39-1242,stanford.edu,muriel.winslow@stanford.edu,+7 826 214 0294,1946-09-10,F,23601,0.4,24,8.54
28,Bennie,Cawse,235-46-1976,shutterfly.com,bennie.cawse@shutterfly.com,+1 661 643 2015,2003-05-11,F,23211,0.06,0,5.39
177,Perl,Blackler,154-23-8120,redcross.org,perl.blackler@redcross.org,+33 945 137 9680,1963-03-20,F,4396,0.16,7,6.36
202,Celinda,Wycliff,594-06-8528,ca.gov,celinda.wycliff@ca.gov,+48 210 286 7097,1980-04-02,F,7318,0.73,18,8.97
231,Kameko,Schulze,151-85-6213,senate.gov,kameko.schulze@senate.gov,+51 181 890 5753,1976-02-12,F,16590,0.85,25,8.65
2,Rina,McDaid,300-87-5103,bloomberg.com,rina.mcdaid@bloomberg.com,+62 374 169 1934,2002-04-11,F,9641,0.73,2,5.34
137,Georg,Martinet,490-27-7581,naver.com,georg.martinet@naver.com,+86 774 592 9106,1964-02-23,M,31263,0.19,8,6.68
110,Terrijo,Benzing,555-58-7301,wisc.edu,terrijo.benzing@wisc.edu,+62 542 485 0544,1974-09-25,F,37528,0.03,1,5.24
7,Shadow,Powell,679-79-0283,aboutads.info,shadow.powell@aboutads.info,+1 895 796 1861,1976-09-22,M,17328,0.46,13,5.98
205,Maddy,Leeson,245-04-0699,un.org,maddy.leeson@un.org,+351 388 268 8192,1975-06-10,M,4981,0.3,9,8.28
252,Adrea,Coldtart,466-75-0831,lycos.com,adrea.coldtart@lycos.com,+353 958 887 9980,1965-10-24,F,34406,0.45,18,8.14
251,Agneta,Kelberman,751-35-2139,goo.gl,agneta.kelberman@goo.gl,+55 491 560 5457,1995-04-10,F,13693,0.37,4,7.16
157,Dorine,Ennew,596-48-4830,nps.gov,dorine.ennew@nps.gov,+86 272 130 2155,1986-05-28,F,43289,0.14,3,5.38
183,Farr,Duff,836-44-1008,zdnet.com,farr.duff@zdnet.com,+263 446 852 7166,1981-08-08,M,9683,0.97,23,9.72
46,Omero,O'Calleran,622-65-8890,simplemachines.org,omero.o'calleran@simplemachines.org,+351 725 915 4099,1964-03-02,M,7484,0.37,15,5.5
196,Bryn,Denidge,845-32-5121,mediafire.com,bryn.denidge@mediafire.com,+7 392 264 9555,1958-10-04,M,1352,0.15,7,8.56
252,Andy,Fipp,294-17-9991,booking.com,andy.fipp@booking.com,+54 648 662 6958,1976-12-01,M,47129,0.99,29,5.19
243,Lorant,Bumphries,348-39-4101,quantcast.com,lorant.bumphries@quantcast.com,+86 673 345 9225,1982-10-27,M,9685,0.55,13,7.99
22,Chrissie,Flieger,285-93-0493,ebay.com,chrissie.flieger@ebay.com,+62 151 225 6397,1973-08-22,M,19555,0.16,5,9.26
233,Norene,Poe,519-41-2660,mtv.com,norene.poe@mtv.com,+57 427 730 1484,1967-07-17,F,46941,0.39,15,7.71
112,Lidia,Jeffery,631-37-8332,google.es,lidia.jeffery@google.es,+258 572 995 0634,1949-01-04,F,8698,0.41,23,8.47
56,Sigrid,Dunford,841-54-9768,g.co,sigrid.dunford@g.co,+880 400 911 0419,1995-05-19,F,38666,0.0,0,9.81
50,Parsifal,Colly,375-80-4673,icio.us,parsifal.colly@icio.us,+7 310 356 1117,1971-06-17,M,31672,0.67,23,5.92
254,Dayna,Brimblecombe,271-26-3497,wunderground.com,dayna.brimblecombe@wunderground.com,+63 809 276 4274,2003-03-29,F,25717,0.63,1,6.78
61,Thurstan,Gerrett,680-53-3115,paginegialle.it,thurstan.gerrett@paginegialle.it,+86 653 594 2839,1973-12-29,M,14615,0.33,11,7.22
61,Ursula,Hackin,885-63-7180,facebook.com,ursula.hackin@facebook.com,+7 181 853 8437,1994-05-01,F,27126,0.29,3,9.36
85,Korie,Elliston,259-29-0084,theatlantic.com,korie.elliston@theatlantic.com,+351 165 642 1885,1961-05-23,F,2380,0.53,23,8.05
204,Jethro,Overil,728-29-3854,drupal.org,jethro.overil@drupal.org,+7 226 719 1271,1949-11-13,M,27800,0.44,25,9.98
199,Jemmy,Chicken,803-30-9419,soundcloud.com,jemmy.chicken@soundcloud.com,+7 398 138 5373,1966-04-29,F,9337,0.88,34,9.21
210,Hoebart,Mabon,164-56-5263,yahoo.co.jp,hoebart.mabon@yahoo.co.jp,+221 936 724 1602,1948-06-07,M,4784,0.02,1,5.48
219,Morse,Kiera,539-27-5655,hostgator.com,morse.kiera@hostgator.com,+992 938 947 0007,2003-04-17,M,18959,0.42,1,5.69
166,Brinn,Charte,673-60-4667,whitehouse.gov,brinn.charte@whitehouse.gov,+86 218 328 6110,1991-12-18,F,27061,0.83,12,8.5
114,Erick,Schettini,716-87-7410,vimeo.com,erick.schettini@vimeo.com,+977 855 101 7536,1996-12-08,M,15461,0.99,9,9.61
1,Filip,Adair,828-77-9701,xrea.com,filip.adair@xrea.com,+385 323 688 6562,1961-06-11,M,8407,0.51,22,9.99
184,Rodrigo,Berthelmot,814-94-3678,virginia.edu,rodrigo.berthelmot@virginia.edu,+86 578 657 3624,1977-08-01,M,32297,0.2,6,9.68
73,Nate,Bowker,227-97-4577,smh.com.au,nate.bowker@smh.com.au,+967 992 198 9676,1952-06-08,M,27249,0.89,47,6.39
149,Roxanne,Harlin,673-15-4845,slashdot.org,roxanne.harlin@slashdot.org,+1 781 456 9965,1948-01-27,F,25608,0.2,11,9.83
261,Gregoire,Yurevich,144-86-3755,weebly.com,gregoire.yurevich@weebly.com,+86 763 469 5447,1965-05-31,M,40777,0.08,3,7.0
180,Clerkclaude,Drillot,536-61-6209,examiner.com,clerkclaude.drillot@examiner.com,+20 583 489 4538,1949-12-26,M,32953,0.06,3,8.54
44,Moshe,Etuck,286-65-4972,unblog.fr,moshe.etuck@unblog.fr,+1 146 535 8355,1954-11-10,M,49453,0.77,39,6.5
263,Brew,Attoe,305-27-8331,blinklist.com,brew.attoe@blinklist.com,+7 994 810 2525,1965-04-03,M,9982,0.35,14,8.13
87,Adan,Cantero,251-35-0757,sourceforge.net,adan.cantero@sourceforge.net,+63 428 931 9805,1993-07-21,F,22315,0.05,1,5.1
181,Lianne,Aiton,725-38-5458,youtube.com,lianne.aiton@youtube.com,+41 941 696 9321,1978-12-23,F,35186,0.29,8,8.44
250,Rachel,Eason,829-58-1422,unc.edu,rachel.eason@unc.edu,+86 559 383 3888,1946-09-21,F,32643,0.98,58,7.47
121,Sigismond,Harder,804-16-5719,google.ru,sigismond.harder@google.ru,+7 198 130 7317,1950-10-11,M,25851,0.35,19,6.92
107,Kenton,Morit,380-45-7382,seesaa.net,kenton.morit@seesaa.net,+86 666 390 6877,1975-06-17,M,19233,0.33,10,7.74
34,Cassaundra,Albasiny,282-86-1808,wsj.com,cassaundra.albasiny@wsj.com,+86 280 637 6150,1946-10-17,F,43013,0.8,47,6.89
95,Gorden,Irvine,139-48-6279,mayoclinic.com,gorden.irvine@mayoclinic.com,+7 894 197 6547,1972-02-02,M,11929,0.13,4,9.3
119,Jeromy,Terrington,435-11-7280,dion.ne.jp,jeromy.terrington@dion.ne.jp,+86 302 502 1079,1988-01-11,M,5477,0.78,13,9.36
100,Josefina,Ruckman,354-85-9622,loc.gov,josefina.ruckman@loc.gov,+62 649 139 5860,1968-04-01,F,48538,0.74,27,9.08
247,Aksel,Zamorano,793-27-5035,webeden.co.uk,aksel.zamorano@webeden.co.uk,+62 814 932 7909,1975-06-11,M,14311,0.8,24,8.73
232,Aaron,Grief,576-42-3850,zimbio.com,aaron.grief@zimbio.com,+86 799 832 1327,1988-12-01,M,37837,0.96,16,6.29
128,Adara,Kilford,571-29-5646,examiner.com,adara.kilford@examiner.com,+685 626 949 5442,1981-01-29,F,9118,0.83,20,8.36
166,Tabbie,Franca,476-71-8646,tuttocitta.it,tabbie.franca@tuttocitta.it,+57 350 402 2011,1957-10-08,M,29604,0.3,14,8.35
164,Nat,Rein,457-80-8769,barnesandnoble.com,nat.rein@barnesandnoble.com,+86 266 742 2769,1994-07-28,F,24036,0.61,7,6.16
233,Stepha,Willmore,434-73-0435,howstuffworks.com,stepha.willmore@howstuffworks.com,+62 544 280 5562,1963-08-24,F,29209,0.91,38,5.52
205,Alejoa,Nappin,733-46-3760,thetimes.co.uk,alejoa.nappin@thetimes.co.uk,+86 754 910 8587,1996-02-07,M,39188,0.14,1,6.39
94,Celinda,Bruckman,238-67-4014,rakuten.co.jp,celinda.bruckman@rakuten.co.jp,+86 817 413 9047,1986-03-18,F,43259,0.71,13,8.26
6,Selena,Woodroof,138-91-9077,cmu.edu,selena.woodroof@cmu.edu,+380 118 668 8119,1981-09-03,F,13821,0.22,5,9.7
34,Davidde,Levi,833-88-5271,hostgator.com,davidde.levi@hostgator.com,+1 834 115 6360,1965-10-06,M,39519,0.67,27,6.85
55,Matthew,Ovey,663-43-1292,php.net,matthew.ovey@php.net,+93 910 310 0983,1964-09-05,M,6124,0.89,36,5.23
248,Kimball,Kolin,315-07-8303,wikimedia.org,kimball.kolin@wikimedia.org,+359 504 598 5120,1959-05-27,M,34464,0.38,17,8.66
48,Garreth,Girault,696-76-5661,telegraph.co.uk,garreth.girault@telegraph.co.uk,+351 383 931 9705,1996-12-14,M,22453,0.75,7,8.18
155,Redford,Crafts,474-02-3530,reverbnation.com,redford.crafts@reverbnation.com,+62 365 530 8006,1991-01-28,M,28055,0.07,1,8.13
43,Bruno,Pannett,758-67-2368,dailymotion.com,bruno.pannett@dailymotion.com,+55 322 314 4804,2004-04-26,M,6194,0.46,0,8.14
90,Jerrilyn,Imlin,297-02-0538,behance.net,jerrilyn.imlin@behance.net,+63 840 505 6459,1947-08-25,F,28132,0.32,19,5.26
60,Wit,Keble,746-78-7322,topsy.com,wit.keble@topsy.com,+62 568 285 2496,1987-12-24,M,3607,0.8,14,5.19
84,Thain,Bamling,500-53-5844,buzzfeed.com,thain.bamling@buzzfeed.com,+62 644 719 8071,1985-06-20,M,15841,0.46,9,9.89
188,Willie,Blench,447-90-1005,blinklist.com,willie.blench@blinklist.com,+504 956 654 7573,1962-09-06,M,5110,0.22,9,9.74
68,Hy,Mariotte,286-02-9981,slate.com,hy.mariotte@slate.com,+63 296 564 6187,1962-05-10,M,17558,0.99,43,8.1
263,Aldis,Breffit,265-55-3459,skype.com,aldis.breffit@skype.com,+33 630 684 7803,1961-02-19,M,48206,0.66,29,9.45
215,Dar,Jeratt,174-28-8307,stumbleupon.com,dar.jeratt@stumbleupon.com,+86 329 410 5245,1969-03-11,M,20638,0.13,5,7.53
141,Leonore,Crick,391-27-5303,home.pl,leonore.crick@home.pl,+33 191 924 3634,1975-08-03,F,5222,0.82,25,9.76
186,Bron,Tonn,259-16-1005,de.vu,bron.tonn@de.vu,+86 478 164 5748,1963-05-10,M,24448,0.02,1,8.97
162,Nikita,Sleigh,750-15-6596,blog.com,nikita.sleigh@blog.com,+82 932 908 8039,1976-08-31,M,23685,0.02,1,5.06
5,Gallagher,Clamp,101-01-9168,goo.gl,gallagher.clamp@goo.gl,+51 503 107 3160,2003-12-26,M,16896,0.95,2,5.19
126,Clive,Ruger,576-57-8829,wikimedia.org,clive.ruger@wikimedia.org,+970 110 811 5097,1993-08-20,M,16960,0.74,9,6.98
131,Caty,Schorah,288-03-3454,dion.ne.jp,caty.schorah@dion.ne.jp,+7 731 981 5343,1967-07-02,F,26635,0.14,5,5.22
55,Earvin,Startin,368-18-5032,elpais.com,earvin.startin@elpais.com,+54 918 845 1879,1979-02-24,M,43551,0.33,9,8.72
3,Warren,Wyke,639-19-6678,google.co.uk,warren.wyke@google.co.uk,+374 486 858 7739,1949-10-27,M,40771,0.28,16,6.54
82,Janela,Stonary,176-92-0020,mediafire.com,janela.stonary@mediafire.com,+62 916 378 0535,1978-03-04,F,5927,0.1,3,5.66
